排名,博主,内容,配图,互动数,标签,首图链接,数据来源
待补,火花思维,暑期数学规划，一站式提升思维,3张,待补,#火花新思维 #火花思维 #暑假数学规划 #数学思维 #小学数学 #幼小衔接 #暑期弯道超车 #少儿思维课,http://sns-web-i10.rednotecdn.com/202607131809/ba29d65602d8ae0eceb47135c3fd7b4a/spectrum/1040g34o322iae24s6u004bv0qcmtm856aj142ro!nd_prv_wlteh_webp_3?src=A,inputs/competitor_data/compat/huohua/notes_details.json
待补,火花思维,3-12岁暑期思维提升班完整规划,3张,待补,#火花新思维 #火花思维 #暑假数学 #数学思维 #3到12岁育儿 #幼小衔接 #小学数学 #暑期学习规划,http://sns-web-i10.rednotecdn.com/202607131809/02a6e6ceba941a0249c9262dbbcd8055/spectrum/1040g34o322iabiu3n2804bv0qcmtm856m0ead08!nd_prv_wlteh_webp_3?src=A,inputs/competitor_data/compat/huohua/notes_details.json
待补,火花思维,宝妈组队！3-12岁暑期思维小班抢位,4张,待补,#火花新思维 #火花思维 #数学思维 #暑假学习规划 #3到12岁育儿 #幼小衔接 #小学数学思维训练 #少儿思维课,http://sns-web-i10.rednotecdn.com/202607131809/c1c618fab124fff2fda1b3f87e39374e/spectrum/1040g34o322ia8bf2n4104bv0qcmtm8565bhngqg!nd_prv_wlteh_webp_3?src=A,inputs/competitor_data/compat/huohua/notes_details.json
待补,火花思维,娃暑期数学不用瞎操心,4张,待补,#火花思维 #火花新思维 #幼小衔接 #暑期规划 #数学思维 #小学数学 #暑假学习 #儿童数学,http://sns-web-i10.rednotecdn.com/202607131809/0240e5ad33f0ba17e40b5fe9628d5fb4/spectrum/1040g0k0322ia70sd74004bv0qcmtm8560q0ndh0!nd_prv_wlteh_webp_3?src=A,inputs/competitor_data/compat/huohua/notes_details.json
待补,火花思维,3-12岁数学分层提升规划,3张,待补,#火花思维 #火花新思维 #幼小衔接 #暑期规划 #数学思维 #小学数学 #儿童数学 #一年级数学,http://sns-web-i10.rednotecdn.com/202607131809/c2a5c4b4c13353f67cb196d67f1e511e/spectrum/1040g0k0322ia2748ms004bv0qcmtm856aofiv40!nd_prv_wlteh_webp_3?src=A,inputs/competitor_data/compat/huohua/notes_details.json
待补,火花思维,居家数学暑期规划看这里,4张,待补,#火花思维 #火花新思维 #幼小衔接 #暑期规划 #数学思维 #居家学习 #一年级数学 #小学数学,http://sns-web-i10.rednotecdn.com/202607131809/489a9ac3c36de075bb63c0217d6a0738/spectrum/1040g34o322ia15mun2104bv0qcmtm856hso6amo!nd_prv_wlteh_webp_3?src=A,inputs/competitor_data/compat/huohua/notes_details.json
待补,火花思维,别盲目刷题，数学启蒙重数感,5张,待补,#火花思维 #火花新思维 #幼小衔接 #暑期规划 #数学启蒙 #儿童数感 #小学数学 #数学思维,http://sns-web-i10.rednotecdn.com/202607131809/87fb8264117d54f398dc86cf55b9f778/spectrum/1040g34o322i9ok1qmu104bv0qcmtm856n58q1e0!nd_prv_wlteh_webp_3?src=A,inputs/competitor_data/compat/huohua/notes_details.json
待补,火花思维,分阶数理教学，普娃也能稳步开窍,4张,待补,#火花思维 #火花新思维 #幼小衔接 #暑期规划 #数学思维 #小学数学 #数理启蒙 #暑假学习,http://sns-web-i10.rednotecdn.com/202607131809/591efc008e47539130f49480cd0f88c5/spectrum/1040g34o322i9gdkr6u104bv0qcmtm856tsgckgo!nd_prv_wlteh_webp_3?src=A,inputs/competitor_data/compat/huohua/notes_details.json
待补,火花思维,报火花数理课，娃进步超出预期,3张,待补,#火花思维 #火花新思维 #幼小衔接 #暑期规划 #数学思维 #幼升小 #小学数学 #暑假学习,http://sns-web-i10.rednotecdn.com/202607131809/e07150dc1688238d85174d3d491c8340/spectrum/1040g34o322i9ep14ms104bv0qcmtm856f97382g!nd_prv_wlteh_webp_3?src=A,inputs/competitor_data/compat/huohua/notes_details.json
待补,火花思维,题目明明都会做，却总因为粗心丢分太可惜,3张,待补,#小学数学 #孩子粗心 #火花思维 #数学思维 #火花新思维 #海淀学习法 #小学生辅导 #费曼学习法,http://sns-web-i10.rednotecdn.com/202607131809/8d6ee29d5ad3e392aad7650f7ae46265/spectrum/1040g0k0322i8tgq7n40g4bv0qcmtm856a3c0aug!nd_prv_wlteh_webp_3?src=A,inputs/competitor_data/compat/huohua/notes_details.json
待补,火花思维,挖到宝了！每周2次火花思维课娃轻松开窍！,3张,待补,#火花新思维 #数学思维 #火花思维 #幼小衔接 #小学数学 #小学规划 #小学奥数 #三年级数学,http://sns-web-i10.rednotecdn.com/202607131809/34ae0676bdc289cfb58916a36533cc15/spectrum/1040g34o322i8rrt970104bv0qcmtm8560dl0gdo!nd_prv_wlteh_webp_3?src=A,inputs/competitor_data/compat/huohua/notes_details.json
待补,火花思维,3-12岁思维进阶全路径，火花给娃安排明白了,4张,待补,#火花思维 #火花新思维 #数学思维 #思维启蒙 #幼小衔接 #小学数学思维训练 #小班直播课,http://sns-web-i10.rednotecdn.com/202607131809/3e35ca1f853c39ed361729128b9e2378/spectrum/1040g0k0322i8qe4a6u004bv0qcmtm856ocdhp48!nd_prv_wlteh_webp_3?src=A,inputs/competitor_data/compat/huohua/notes_details.json
待补,火花思维,真小班才敢说的真话❗一节课收获太大了,3张,待补,#数学思维 #学思维上火花 #提升孩子思维能力 #儿童逻辑思维 #幼小衔接 #全脑开发 #小学数学思维训练,http://sns-web-i10.rednotecdn.com/202607131810/b9ba78a9c345c178727f8a5f882f08fb/1040g008322bu6ovlnu404bv0qcmtm8568oqtbfo!nd_prv_wlteh_webp_3?src=A,inputs/competitor_data/compat/huohua/notes_details.json
