content_id,content_type,topic,title_1,title_2,title_3,cover_text,quality_score,risk_level,publish_recommendation,strategy_score,overall_score,strategy_reason,evidence,asset_paths
XHS-20260712-001,家长痛点,孩子应用题看完了，却不知道第一步做什么,孩子应用题看完了，却不知道第一步做什么，问题可能不在努力,应用题先别急着算,很多家长忽略了：先找条件和问题，再决定第一步,应用题先别急着算,98,green,publish,96,97.3,暂无足够自有表现数据，按品牌内容支柱做均衡探索,家长痛点：应用题看不懂 | 教学证明点：应用题拆解方法,/Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_800X1000_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_两位数乘法（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4
XHS-20260712-002,学习方法,数学启蒙先实物、再画图、最后写算式,数学启蒙先实物、再画图、最后写算式，问题可能不在努力,数学启蒙别急着刷题,很多家长忽略了：用CPA把抽象数量关系变成孩子看得见的步骤,数学启蒙别急着刷题,98,green,publish,94,96.6,暂无足够自有表现数据，按品牌内容支柱做均衡探索,教学证明点：CPA教学法 | 低龄家长关注点：思维启蒙,/Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_800X1000_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_两位数乘法（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4
XHS-20260712-003,误区纠正,辅导作业总崩溃，问题不一定在孩子不会,辅导作业总崩溃，问题不一定在孩子不会，问题可能不在努力,辅导前先少说一句,很多家长忽略了：把催答案改成请孩子复述题目,辅导前先少说一句,94,green,publish,93,93.7,暂无足够自有表现数据，按品牌内容支柱做均衡探索,家长痛点：辅导作业容易崩溃 | 品牌调性：懂孩子的思维老师,/Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_800X1000_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_两位数乘法（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4
XHS-20260712-004,家长痛点,孩子计算总粗心，可能是没有看懂数量关系,孩子计算总粗心，可能是没有看懂数量关系，问题可能不在努力,粗心前先检查这一步,很多家长忽略了：先让孩子讲清每个数字代表什么,粗心前先检查这一步,98,green,publish,90,95.2,暂无足够自有表现数据，按品牌内容支柱做均衡探索,家长痛点：计算总粗心 | 产品定位：建立解题模型,/Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_800X1000_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_两位数乘法（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4
XHS-20260712-005,学习方法,家长在家只问3个问题，孩子更愿意讲思路,家长在家只问3个问题，孩子更愿意讲思路，问题可能不在努力,这样问，孩子会讲思路,很多家长忽略了：条件是什么、要解决什么、你想先做哪一步,这样问，孩子会讲思路,98,green,publish,89,94.8,暂无足够自有表现数据，按品牌内容支柱做均衡探索,产品定位：培养数学思维 | 可持续证明：老师讲解逻辑,/Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_800X1000_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_两位数乘法（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4
XHS-20260712-006,误区纠正,数学启蒙不是越早刷题越好,数学启蒙不是越早刷题越好，问题可能不在努力,启蒙不是提前刷题,很多家长忽略了：先让孩子在互动和游戏里理解数量与规律,启蒙不是提前刷题,84,green,publish,88,85.4,暂无足够自有表现数据，按品牌内容支柱做均衡探索,低龄家长关注点：兴趣建立 | 教学证明点：动画互动、游戏化闯关,
XHS-20260712-007,案例故事,孩子从猜答案，到愿意说出为什么这样算,孩子从猜答案，到愿意说出为什么这样算，问题可能不在努力,会讲思路，比答对更重要,很多家长忽略了：先练表达过程，再巩固解题模型,会讲思路，比答对更重要,98,green,publish,87,94.2,暂无足够自有表现数据，按品牌内容支柱做均衡探索,高转化方向：孩子终于知道为什么这样算 | 常用证明结构：方法展示,/Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_三角形的面积（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_800X1000_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_两位数乘法（台湾腔）_简体_普通话_口播_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4
XHS-20260712-008,资料领取,3到12岁数学思维观察表：先看4个信号,3到12岁数学思维观察表：先看4个信号，问题可能不在努力,数学思维观察表,很多家长忽略了：读题、表达、迁移、遇到难题时的反应,数学思维观察表,94,green,publish,86,91.2,暂无足够自有表现数据，按品牌内容支柱做均衡探索,推荐CTA：领取思维题、领取测评 | 高转化方向：不是孩子笨，是没学过思维方法,
XHS-20260712-009,学习方法,应用题拆解的第一步，不是列算式,应用题拆解的第一步，不是列算式，问题可能不在努力,应用题先找这两句话,很多家长忽略了：圈出已知条件和真正的问题,应用题先找这两句话,98,green,publish,85,93.5,暂无足够自有表现数据，按品牌内容支柱做均衡探索,教学证明点：应用题拆解方法 | 高年级家长关注点：应用题、逻辑,
XHS-20260712-010,家长痛点,孩子一看到数学就说不会，先别急着讲答案,孩子一看到数学就说不会，先别急着讲答案，问题可能不在努力,孩子说不会时这样做,很多家长忽略了：把难题拆成一小步，先保护思考意愿,孩子说不会时这样做,98,green,publish,84,93.1,暂无足够自有表现数据，按品牌内容支柱做均衡探索,家长痛点：孩子抗拒数学 | 品牌调性：不高压,/Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_儿歌教学_简体_普通话_情景剧_谢嘉慧_往期优秀素材_竖版_720X1280_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_儿歌教学_简体_普通话_情景剧_谢嘉慧_往期优秀素材_竖版_800X1000_202601.mp4 | /Volumes/海外投放素材库/视频素材/测试素材（纯测试）/01-2026年/2026-01/1月份第一期视频/去画啦啦/SL_学习效果和成果类_抓住思维黄金期_简体_普通话_情景剧_欧莹莹_往期优秀素材_竖版_720X1280_202601.mp4
